"filename", "language", "PHP", "JavaScript", "SCSS", "CSS", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\roleandpermission\resources\views\Backend\Statelist\index.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 7, 88
"c:\wamp64\www\roleandpermission\resources\views\Backend\Test\create.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\roleandpermission\resources\views\Backend\Test\edit.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\wamp64\www\roleandpermission\resources\views\Backend\Test\index.blade.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\wamp64\www\roleandpermission\resources\views\Backend\blog\category_create.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\wamp64\www\roleandpermission\resources\views\Backend\blog\category_edit.blade.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\wamp64\www\roleandpermission\resources\views\Backend\blog\category_index.blade.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 6, 76
"c:\wamp64\www\roleandpermission\resources\views\Backend\blog\create.blade.php", "PHP", 135, 0, 0, 0, 0, 0, 0, 0, 5, 140
"c:\wamp64\www\roleandpermission\resources\views\Backend\blog\edit.blade.php", "PHP", 149, 0, 0, 0, 0, 0, 0, 0, 9, 158
"c:\wamp64\www\roleandpermission\resources\views\Backend\blog\index.blade.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 4, 8, 121
"c:\wamp64\www\roleandpermission\resources\views\Backend\company\create.blade.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\wamp64\www\roleandpermission\resources\views\Backend\company\edit.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\wamp64\www\roleandpermission\resources\views\Backend\company\index.blade.php", "PHP", 255, 0, 0, 0, 0, 0, 0, 8, 20, 283
"c:\wamp64\www\roleandpermission\resources\views\Backend\department\create.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
